"Your_github","Instructions"
"abishekarun","Please add [vanflad](https://github.com/vanflad) and [wswade2](https://github.com/wswade2) as collaborators to your repo containing hw10. Please __review the hw10 submission of [rainerlempert](https://github.com/rainerlempert) and [Shirlett](https://github.com/Shirlett)__."
"Alexander-Morin","Please add [emwest](https://github.com/emwest) and [mlawre01](https://github.com/mlawre01) as collaborators to your repo containing hw10. Please __review the hw10 submission of [yuanjisun](https://github.com/yuanjisun) and [bcahn7](https://github.com/bcahn7)__."
"AnhKhoaVo","Please add [arsbar24](https://github.com/arsbar24) and [hannahdxz](https://github.com/hannahdxz) as collaborators to your repo containing hw10. Please __review the hw10 submission of [suminwei2772](https://github.com/suminwei2772) and [emwest](https://github.com/emwest)__."
"arsbar24","Please add [HScheiber](https://github.com/HScheiber) and [arthursunbao](https://github.com/arthursunbao) as collaborators to your repo containing hw10. Please __review the hw10 submission of [hannahdxz](https://github.com/hannahdxz) and [AnhKhoaVo](https://github.com/AnhKhoaVo)__."
"arthursunbao","Please add [SonjaS1](https://github.com/SonjaS1) and [HScheiber](https://github.com/HScheiber) as collaborators to your repo containing hw10. Please __review the hw10 submission of [arsbar24](https://github.com/arsbar24) and [hannahdxz](https://github.com/hannahdxz)__."
"bcahn7","Please add [Alexander-Morin](https://github.com/Alexander-Morin) and [yuanjisun](https://github.com/yuanjisun) as collaborators to your repo containing hw10. Please __review the hw10 submission of [margotgunning](https://github.com/margotgunning) and [zxkathy](https://github.com/zxkathy)__."
"CassKon","Please add [cheungamanda](https://github.com/cheungamanda) and [heathersummers](https://github.com/heathersummers) as collaborators to your repo containing hw10. Please __review the hw10 submission of [yanchaoluo](https://github.com/yanchaoluo) and [farihakhan](https://github.com/farihakhan)__."
"cheungamanda","Please add [ZimingY](https://github.com/ZimingY) and [Kozp](https://github.com/Kozp) as collaborators to your repo containing hw10. Please __review the hw10 submission of [heathersummers](https://github.com/heathersummers) and [CassKon](https://github.com/CassKon)__."
"dorawyy","Please add [zxkathy](https://github.com/zxkathy) and [yidie](https://github.com/yidie) as collaborators to your repo containing hw10. Please __review the hw10 submission of [hsmohammed](https://github.com/hsmohammed) and [emilymistick](https://github.com/emilymistick)__."
"emilymistick","Please add [dorawyy](https://github.com/dorawyy) and [hsmohammed](https://github.com/hsmohammed) as collaborators to your repo containing hw10. Please __review the hw10 submission of [Mathnstein](https://github.com/Mathnstein) and [ilgan](https://github.com/ilgan)__."
"emwest","Please add [AnhKhoaVo](https://github.com/AnhKhoaVo) and [suminwei2772](https://github.com/suminwei2772) as collaborators to your repo containing hw10. Please __review the hw10 submission of [mlawre01](https://github.com/mlawre01) and [Alexander-Morin](https://github.com/Alexander-Morin)__."
"farihakhan","Please add [CassKon](https://github.com/CassKon) and [yanchaoluo](https://github.com/yanchaoluo) as collaborators to your repo containing hw10. Please __review the hw10 submission of [Tangjiahui26](https://github.com/Tangjiahui26) and [vibudh2209](https://github.com/vibudh2209)__."
"gbraich","Please add [qiaoyuet](https://github.com/qiaoyuet) and [rishadhabib](https://github.com/rishadhabib) as collaborators to your repo containing hw10. Please __review the hw10 submission of [ZimingY](https://github.com/ZimingY) and [Kozp](https://github.com/Kozp)__."
"hannahdxz","Please add [arthursunbao](https://github.com/arthursunbao) and [arsbar24](https://github.com/arsbar24) as collaborators to your repo containing hw10. Please __review the hw10 submission of [AnhKhoaVo](https://github.com/AnhKhoaVo) and [suminwei2772](https://github.com/suminwei2772)__."
"heathersummers","Please add [Kozp](https://github.com/Kozp) and [cheungamanda](https://github.com/cheungamanda) as collaborators to your repo containing hw10. Please __review the hw10 submission of [CassKon](https://github.com/CassKon) and [yanchaoluo](https://github.com/yanchaoluo)__."
"HScheiber","Please add [KateJohnson](https://github.com/KateJohnson) and [SonjaS1](https://github.com/SonjaS1) as collaborators to your repo containing hw10. Please __review the hw10 submission of [arthursunbao](https://github.com/arthursunbao) and [arsbar24](https://github.com/arsbar24)__."
"hsmohammed","Please add [yidie](https://github.com/yidie) and [dorawyy](https://github.com/dorawyy) as collaborators to your repo containing hw10. Please __review the hw10 submission of [emilymistick](https://github.com/emilymistick) and [Mathnstein](https://github.com/Mathnstein)__."
"ilgan","Please add [emilymistick](https://github.com/emilymistick) and [Mathnstein](https://github.com/Mathnstein) as collaborators to your repo containing hw10. Please __review the hw10 submission of [xinyaofan](https://github.com/xinyaofan) and [xinmiaow](https://github.com/xinmiaow)__."
"jmurthy12","Please add [xinmiaow](https://github.com/xinmiaow) and [menglinzhou](https://github.com/menglinzhou) as collaborators to your repo containing hw10. Please __review the hw10 submission of [wenzhengzzz](https://github.com/wenzhengzzz) and [sepkamal](https://github.com/sepkamal)__."
"juansbr7","Please add [peterwhitman](https://github.com/peterwhitman) and [vmichalowski](https://github.com/vmichalowski) as collaborators to your repo containing hw10. Please __review the hw10 submission of [marbazua](https://github.com/marbazua) and [swynes](https://github.com/swynes)__."
