"Your_github","Instructions"
"abishekarun","Please add [xinmiaow](https://github.com/xinmiaow) and [wswade2](https://github.com/wswade2) as collaborators to your repo containing hw07. Please __review the hw07 submission of [cheungamanda](https://github.com/cheungamanda) and [sepkamal](https://github.com/sepkamal)__."
"Alexander-Morin","Please add [arsbar24](https://github.com/arsbar24) and [peterwhitman](https://github.com/peterwhitman) as collaborators to your repo containing hw07. Please __review the hw07 submission of [ZimingY](https://github.com/ZimingY) and [margotgunning](https://github.com/margotgunning)__."
"AnhKhoaVo","Please add [emwest](https://github.com/emwest) and [suminwei2772](https://github.com/suminwei2772) as collaborators to your repo containing hw07. Please __review the hw07 submission of [zxkathy](https://github.com/zxkathy) and [xinyaofan](https://github.com/xinyaofan)__."
"arsbar24","Please add [emilymistick](https://github.com/emilymistick) and [marbazua](https://github.com/marbazua) as collaborators to your repo containing hw07. Please __review the hw07 submission of [peterwhitman](https://github.com/peterwhitman) and [Alexander-Morin](https://github.com/Alexander-Morin)__."
"arthursunbao","Please add [vanflad](https://github.com/vanflad) and [swynes](https://github.com/swynes) as collaborators to your repo containing hw07. Please __review the hw07 submission of [emilymistick](https://github.com/emilymistick) and [marbazua](https://github.com/marbazua)__."
"bcahn7","Please add [vibudh2209](https://github.com/vibudh2209) and [qiaoyuet](https://github.com/qiaoyuet) as collaborators to your repo containing hw07. Please __review the hw07 submission of [CassKon](https://github.com/CassKon) and [mlawre01](https://github.com/mlawre01)__."
"CassKon","Please add [qiaoyuet](https://github.com/qiaoyuet) and [bcahn7](https://github.com/bcahn7) as collaborators to your repo containing hw07. Please __review the hw07 submission of [mlawre01](https://github.com/mlawre01) and [mylinhthibodeau](https://github.com/mylinhthibodeau)__."
"cheungamanda","Please add [wswade2](https://github.com/wswade2) and [abishekarun](https://github.com/abishekarun) as collaborators to your repo containing hw07. Please __review the hw07 submission of [sepkamal](https://github.com/sepkamal) and [Kozp](https://github.com/Kozp)__."
"dorawyy","Please add [Kozp](https://github.com/Kozp) and [yidie](https://github.com/yidie) as collaborators to your repo containing hw07. Please __review the hw07 submission of [emwest](https://github.com/emwest) and [suminwei2772](https://github.com/suminwei2772)__."
"emilymistick","Please add [swynes](https://github.com/swynes) and [arthursunbao](https://github.com/arthursunbao) as collaborators to your repo containing hw07. Please __review the hw07 submission of [marbazua](https://github.com/marbazua) and [arsbar24](https://github.com/arsbar24)__."
"emwest","Please add [yidie](https://github.com/yidie) and [dorawyy](https://github.com/dorawyy) as collaborators to your repo containing hw07. Please __review the hw07 submission of [suminwei2772](https://github.com/suminwei2772) and [AnhKhoaVo](https://github.com/AnhKhoaVo)__."
"farihakhan","Please add [xinyaofan](https://github.com/xinyaofan) and [gbraich](https://github.com/gbraich) as collaborators to your repo containing hw07. Please __review the hw07 submission of [ilgan](https://github.com/ilgan) and [yuanjisun](https://github.com/yuanjisun)__."
"gbraich","Please add [zxkathy](https://github.com/zxkathy) and [xinyaofan](https://github.com/xinyaofan) as collaborators to your repo containing hw07. Please __review the hw07 submission of [farihakhan](https://github.com/farihakhan) and [ilgan](https://github.com/ilgan)__."
"hannahdxz","Please add [yuanjisun](https://github.com/yuanjisun) and [menglinzhou](https://github.com/menglinzhou) as collaborators to your repo containing hw07. Please __review the hw07 submission of [wenzhengzzz](https://github.com/wenzhengzzz) and [Mathnstein](https://github.com/Mathnstein)__."
"heathersummers","Please add [santiagodr](https://github.com/santiagodr) and [mattsada](https://github.com/mattsada) as collaborators to your repo containing hw07. Please __review the hw07 submission of [SonjaS1](https://github.com/SonjaS1) and [vibudh2209](https://github.com/vibudh2209)__."
"HScheiber","Please add [yeonukkim](https://github.com/yeonukkim) and [hsmohammed](https://github.com/hsmohammed) as collaborators to your repo containing hw07. Please __review the hw07 submission of [santiagodr](https://github.com/santiagodr) and [mattsada](https://github.com/mattsada)__."
"hsmohammed","Please add [Mathnstein](https://github.com/Mathnstein) and [yeonukkim](https://github.com/yeonukkim) as collaborators to your repo containing hw07. Please __review the hw07 submission of [HScheiber](https://github.com/HScheiber) and [santiagodr](https://github.com/santiagodr)__."
"ilgan","Please add [gbraich](https://github.com/gbraich) and [farihakhan](https://github.com/farihakhan) as collaborators to your repo containing hw07. Please __review the hw07 submission of [yuanjisun](https://github.com/yuanjisun) and [menglinzhou](https://github.com/menglinzhou)__."
"jmurthy12","Please add [yanchaoluo](https://github.com/yanchaoluo) and [Shirlett](https://github.com/Shirlett) as collaborators to your repo containing hw07. Please __review the hw07 submission of [juansbr7](https://github.com/juansbr7) and [KateJohnson](https://github.com/KateJohnson)__."
"juansbr7","Please add [Shirlett](https://github.com/Shirlett) and [jmurthy12](https://github.com/jmurthy12) as collaborators to your repo containing hw07. Please __review the hw07 submission of [KateJohnson](https://github.com/KateJohnson) and [vanflad](https://github.com/vanflad)__."
"KateJohnson","Please add [jmurthy12](https://github.com/jmurthy12) and [juansbr7](https://github.com/juansbr7) as collaborators to your repo containing hw07. Please __review the hw07 submission of [vanflad](https://github.com/vanflad) and [swynes](https://github.com/swynes)__."
"Kozp","Please add [cheungamanda](https://github.com/cheungamanda) and [sepkamal](https://github.com/sepkamal) as collaborators to your repo containing hw07. Please __review the hw07 submission of [yidie](https://github.com/yidie) and [dorawyy](https://github.com/dorawyy)__."
"marbazua","Please add [arthursunbao](https://github.com/arthursunbao) and [emilymistick](https://github.com/emilymistick) as collaborators to your repo containing hw07. Please __review the hw07 submission of [arsbar24](https://github.com/arsbar24) and [peterwhitman](https://github.com/peterwhitman)__."
"margotgunning","Please add [Alexander-Morin](https://github.com/Alexander-Morin) and [ZimingY](https://github.com/ZimingY) as collaborators to your repo containing hw07. Please __review the hw07 submission of [xinmiaow](https://github.com/xinmiaow) and [wswade2](https://github.com/wswade2)__."
"Mathnstein","Please add [hannahdxz](https://github.com/hannahdxz) and [wenzhengzzz](https://github.com/wenzhengzzz) as collaborators to your repo containing hw07. Please __review the hw07 submission of [yeonukkim](https://github.com/yeonukkim) and [hsmohammed](https://github.com/hsmohammed)__."
"mattsada","Please add [HScheiber](https://github.com/HScheiber) and [santiagodr](https://github.com/santiagodr) as collaborators to your repo containing hw07. Please __review the hw07 submission of [heathersummers](https://github.com/heathersummers) and [SonjaS1](https://github.com/SonjaS1)__."
"menglinzhou","Please add [ilgan](https://github.com/ilgan) and [yuanjisun](https://github.com/yuanjisun) as collaborators to your repo containing hw07. Please __review the hw07 submission of [hannahdxz](https://github.com/hannahdxz) and [wenzhengzzz](https://github.com/wenzhengzzz)__."
"mlawre01","Please add [bcahn7](https://github.com/bcahn7) and [CassKon](https://github.com/CassKon) as collaborators to your repo containing hw07. Please __review the hw07 submission of [mylinhthibodeau](https://github.com/mylinhthibodeau) and [rainerlempert](https://github.com/rainerlempert)__."
"mylinhthibodeau","Please add [CassKon](https://github.com/CassKon) and [mlawre01](https://github.com/mlawre01) as collaborators to your repo containing hw07. Please __review the hw07 submission of [rainerlempert](https://github.com/rainerlempert) and [Tangjiahui26](https://github.com/Tangjiahui26)__."
"peterwhitman","Please add [marbazua](https://github.com/marbazua) and [arsbar24](https://github.com/arsbar24) as collaborators to your repo containing hw07. Please __review the hw07 submission of [Alexander-Morin](https://github.com/Alexander-Morin) and [ZimingY](https://github.com/ZimingY)__."
"qiaoyuet","Please add [SonjaS1](https://github.com/SonjaS1) and [vibudh2209](https://github.com/vibudh2209) as collaborators to your repo containing hw07. Please __review the hw07 submission of [bcahn7](https://github.com/bcahn7) and [CassKon](https://github.com/CassKon)__."
"rainerlempert","Please add [mlawre01](https://github.com/mlawre01) and [mylinhthibodeau](https://github.com/mylinhthibodeau) as collaborators to your repo containing hw07. Please __review the hw07 submission of [Tangjiahui26](https://github.com/Tangjiahui26) and [rishadhabib](https://github.com/rishadhabib)__."
"rishadhabib","Please add [rainerlempert](https://github.com/rainerlempert) and [Tangjiahui26](https://github.com/Tangjiahui26) as collaborators to your repo containing hw07. Please __review the hw07 submission of [vmichalowski](https://github.com/vmichalowski) and [yanchaoluo](https://github.com/yanchaoluo)__."
"santiagodr","Please add [hsmohammed](https://github.com/hsmohammed) and [HScheiber](https://github.com/HScheiber) as collaborators to your repo containing hw07. Please __review the hw07 submission of [mattsada](https://github.com/mattsada) and [heathersummers](https://github.com/heathersummers)__."
"sepkamal","Please add [abishekarun](https://github.com/abishekarun) and [cheungamanda](https://github.com/cheungamanda) as collaborators to your repo containing hw07. Please __review the hw07 submission of [Kozp](https://github.com/Kozp) and [yidie](https://github.com/yidie)__."
"Shirlett","Please add [vmichalowski](https://github.com/vmichalowski) and [yanchaoluo](https://github.com/yanchaoluo) as collaborators to your repo containing hw07. Please __review the hw07 submission of [jmurthy12](https://github.com/jmurthy12) and [juansbr7](https://github.com/juansbr7)__."
"SonjaS1","Please add [mattsada](https://github.com/mattsada) and [heathersummers](https://github.com/heathersummers) as collaborators to your repo containing hw07. Please __review the hw07 submission of [vibudh2209](https://github.com/vibudh2209) and [qiaoyuet](https://github.com/qiaoyuet)__."
"suminwei2772","Please add [dorawyy](https://github.com/dorawyy) and [emwest](https://github.com/emwest) as collaborators to your repo containing hw07. Please __review the hw07 submission of [AnhKhoaVo](https://github.com/AnhKhoaVo) and [zxkathy](https://github.com/zxkathy)__."
"swynes","Please add [KateJohnson](https://github.com/KateJohnson) and [vanflad](https://github.com/vanflad) as collaborators to your repo containing hw07. Please __review the hw07 submission of [arthursunbao](https://github.com/arthursunbao) and [emilymistick](https://github.com/emilymistick)__."
"Tangjiahui26","Please add [mylinhthibodeau](https://github.com/mylinhthibodeau) and [rainerlempert](https://github.com/rainerlempert) as collaborators to your repo containing hw07. Please __review the hw07 submission of [rishadhabib](https://github.com/rishadhabib) and [vmichalowski](https://github.com/vmichalowski)__."
"vanflad","Please add [juansbr7](https://github.com/juansbr7) and [KateJohnson](https://github.com/KateJohnson) as collaborators to your repo containing hw07. Please __review the hw07 submission of [swynes](https://github.com/swynes) and [arthursunbao](https://github.com/arthursunbao)__."
"vibudh2209","Please add [heathersummers](https://github.com/heathersummers) and [SonjaS1](https://github.com/SonjaS1) as collaborators to your repo containing hw07. Please __review the hw07 submission of [qiaoyuet](https://github.com/qiaoyuet) and [bcahn7](https://github.com/bcahn7)__."
"vmichalowski","Please add [Tangjiahui26](https://github.com/Tangjiahui26) and [rishadhabib](https://github.com/rishadhabib) as collaborators to your repo containing hw07. Please __review the hw07 submission of [yanchaoluo](https://github.com/yanchaoluo) and [Shirlett](https://github.com/Shirlett)__."
"wenzhengzzz","Please add [menglinzhou](https://github.com/menglinzhou) and [hannahdxz](https://github.com/hannahdxz) as collaborators to your repo containing hw07. Please __review the hw07 submission of [Mathnstein](https://github.com/Mathnstein) and [yeonukkim](https://github.com/yeonukkim)__."
"wswade2","Please add [margotgunning](https://github.com/margotgunning) and [xinmiaow](https://github.com/xinmiaow) as collaborators to your repo containing hw07. Please __review the hw07 submission of [abishekarun](https://github.com/abishekarun) and [cheungamanda](https://github.com/cheungamanda)__."
"xinmiaow","Please add [ZimingY](https://github.com/ZimingY) and [margotgunning](https://github.com/margotgunning) as collaborators to your repo containing hw07. Please __review the hw07 submission of [wswade2](https://github.com/wswade2) and [abishekarun](https://github.com/abishekarun)__."
"xinyaofan","Please add [AnhKhoaVo](https://github.com/AnhKhoaVo) and [zxkathy](https://github.com/zxkathy) as collaborators to your repo containing hw07. Please __review the hw07 submission of [gbraich](https://github.com/gbraich) and [farihakhan](https://github.com/farihakhan)__."
"yanchaoluo","Please add [rishadhabib](https://github.com/rishadhabib) and [vmichalowski](https://github.com/vmichalowski) as collaborators to your repo containing hw07. Please __review the hw07 submission of [Shirlett](https://github.com/Shirlett) and [jmurthy12](https://github.com/jmurthy12)__."
"yeonukkim","Please add [wenzhengzzz](https://github.com/wenzhengzzz) and [Mathnstein](https://github.com/Mathnstein) as collaborators to your repo containing hw07. Please __review the hw07 submission of [hsmohammed](https://github.com/hsmohammed) and [HScheiber](https://github.com/HScheiber)__."
"yidie","Please add [sepkamal](https://github.com/sepkamal) and [Kozp](https://github.com/Kozp) as collaborators to your repo containing hw07. Please __review the hw07 submission of [dorawyy](https://github.com/dorawyy) and [emwest](https://github.com/emwest)__."
"yuanjisun","Please add [farihakhan](https://github.com/farihakhan) and [ilgan](https://github.com/ilgan) as collaborators to your repo containing hw07. Please __review the hw07 submission of [menglinzhou](https://github.com/menglinzhou) and [hannahdxz](https://github.com/hannahdxz)__."
"ZimingY","Please add [peterwhitman](https://github.com/peterwhitman) and [Alexander-Morin](https://github.com/Alexander-Morin) as collaborators to your repo containing hw07. Please __review the hw07 submission of [margotgunning](https://github.com/margotgunning) and [xinmiaow](https://github.com/xinmiaow)__."
