"Your_github","Instructions"
"abishekarun","Please add [farihakhan](https://github.com/farihakhan) and [Tangjiahui26](https://github.com/Tangjiahui26) as collaborators to your repo containing hw04. Please __review the hw04 submission of [mylinhthibodeau](https://github.com/mylinhthibodeau) and [KateJohnson](https://github.com/KateJohnson)__."
"acavalla","Please add [peterwhitman](https://github.com/peterwhitman) and [navysealtf9k](https://github.com/navysealtf9k) as collaborators to your repo containing hw04. Please __review the hw04 submission of [sepkamal](https://github.com/sepkamal) and [Mathnstein](https://github.com/Mathnstein)__."
"aiod01","Please add [juansbr7](https://github.com/juansbr7) and [estennw](https://github.com/estennw) as collaborators to your repo containing hw04. Please __review the hw04 submission of [rishadhabib](https://github.com/rishadhabib) and [winnietse1018](https://github.com/winnietse1018)__."
"Alexander-Morin","Please add [angmelanie](https://github.com/angmelanie) and [Maria815](https://github.com/Maria815) as collaborators to your repo containing hw04. Please __review the hw04 submission of [gbraich](https://github.com/gbraich) and [heathersummers](https://github.com/heathersummers)__."
"alexrod61","Please add [santiagodr](https://github.com/santiagodr) and [julianheavyside](https://github.com/julianheavyside) as collaborators to your repo containing hw04. Please __review the hw04 submission of [qiaoyuet](https://github.com/qiaoyuet) and [bcahn7](https://github.com/bcahn7)__."
"angmelanie","Please add [arsbar24](https://github.com/arsbar24) and [xinmiaow](https://github.com/xinmiaow) as collaborators to your repo containing hw04. Please __review the hw04 submission of [Maria815](https://github.com/Maria815) and [Alexander-Morin](https://github.com/Alexander-Morin)__."
"arsbar24","Please add [suminwei2772](https://github.com/suminwei2772) and [lucymei](https://github.com/lucymei) as collaborators to your repo containing hw04. Please __review the hw04 submission of [xinmiaow](https://github.com/xinmiaow) and [angmelanie](https://github.com/angmelanie)__."
"arthursunbao","Please add [swynes](https://github.com/swynes) and [nicolehawe](https://github.com/nicolehawe) as collaborators to your repo containing hw04. Please __review the hw04 submission of [rdwyer2](https://github.com/rdwyer2) and [diermc](https://github.com/diermc)__."
"auduman","Please add [sepkamal](https://github.com/sepkamal) and [Mathnstein](https://github.com/Mathnstein) as collaborators to your repo containing hw04. Please __review the hw04 submission of [cheungamanda](https://github.com/cheungamanda) and [oktokat](https://github.com/oktokat)__."
"bcahn7","Please add [alexrod61](https://github.com/alexrod61) and [qiaoyuet](https://github.com/qiaoyuet) as collaborators to your repo containing hw04. Please __review the hw04 submission of [vibudh2209](https://github.com/vibudh2209) and [k3vzhu](https://github.com/k3vzhu)__."
"burkeprw","Please add [HScheiber](https://github.com/HScheiber) and [mlawre01](https://github.com/mlawre01) as collaborators to your repo containing hw04. Please __review the hw04 submission of [ilgan](https://github.com/ilgan) and [vanflad](https://github.com/vanflad)__."
"CassKon","Please add [ilgan](https://github.com/ilgan) and [vanflad](https://github.com/vanflad) as collaborators to your repo containing hw04. Please __review the hw04 submission of [ChadFibke](https://github.com/ChadFibke) and [cindyhurtado](https://github.com/cindyhurtado)__."
"ChadFibke","Please add [vanflad](https://github.com/vanflad) and [CassKon](https://github.com/CassKon) as collaborators to your repo containing hw04. Please __review the hw04 submission of [cindyhurtado](https://github.com/cindyhurtado) and [swynes](https://github.com/swynes)__."
"cheungamanda","Please add [Mathnstein](https://github.com/Mathnstein) and [auduman](https://github.com/auduman) as collaborators to your repo containing hw04. Please __review the hw04 submission of [oktokat](https://github.com/oktokat) and [emilymistick](https://github.com/emilymistick)__."
"cindyhurtado","Please add [CassKon](https://github.com/CassKon) and [ChadFibke](https://github.com/ChadFibke) as collaborators to your repo containing hw04. Please __review the hw04 submission of [swynes](https://github.com/swynes) and [nicolehawe](https://github.com/nicolehawe)__."
"danaj191","Please add [nbendriem](https://github.com/nbendriem) and [dorawyy](https://github.com/dorawyy) as collaborators to your repo containing hw04. Please __review the hw04 submission of [NSKrstic](https://github.com/NSKrstic) and [sdhanani](https://github.com/gvdr/stat545-hw-dhanani-selina)__."
"diermc","Please add [arthursunbao](https://github.com/arthursunbao) and [rdwyer2](https://github.com/rdwyer2) as collaborators to your repo containing hw04. Please __review the hw04 submission of [ZimingY](https://github.com/ZimingY) and [Shirlett](https://github.com/Shirlett)__."
"dorawyy","Please add [winnietse1018](https://github.com/winnietse1018) and [nbendriem](https://github.com/nbendriem) as collaborators to your repo containing hw04. Please __review the hw04 submission of [danaj191](https://github.com/danaj191) and [NSKrstic](https://github.com/NSKrstic)__."
"emilymistick","Please add [cheungamanda](https://github.com/cheungamanda) and [oktokat](https://github.com/oktokat) as collaborators to your repo containing hw04. Please __review the hw04 submission of [yanchaoluo](https://github.com/yanchaoluo) and [santiagodr](https://github.com/santiagodr)__."
"estennw","Please add [susannaelsie](https://github.com/susannaelsie) and [juansbr7](https://github.com/juansbr7) as collaborators to your repo containing hw04. Please __review the hw04 submission of [aiod01](https://github.com/aiod01) and [rishadhabib](https://github.com/rishadhabib)__."
"farihakhan","Please add [vibudh2209](https://github.com/vibudh2209) and [k3vzhu](https://github.com/k3vzhu) as collaborators to your repo containing hw04. Please __review the hw04 submission of [Tangjiahui26](https://github.com/Tangjiahui26) and [abishekarun](https://github.com/abishekarun)__."
"gbraich","Please add [Maria815](https://github.com/Maria815) and [Alexander-Morin](https://github.com/Alexander-Morin) as collaborators to your repo containing hw04. Please __review the hw04 submission of [heathersummers](https://github.com/heathersummers) and [wswade2](https://github.com/wswade2)__."
"hannahdxz","Please add [Shirlett](https://github.com/Shirlett) and [Kozp](https://github.com/Kozp) as collaborators to your repo containing hw04. Please __review the hw04 submission of [suminwei2772](https://github.com/suminwei2772) and [lucymei](https://github.com/lucymei)__."
"heathersummers","Please add [Alexander-Morin](https://github.com/Alexander-Morin) and [gbraich](https://github.com/gbraich) as collaborators to your repo containing hw04. Please __review the hw04 submission of [wswade2](https://github.com/wswade2) and [margotgunning](https://github.com/margotgunning)__."
"HScheiber","Please add [teilhard1976](https://github.com/teilhard1976) and [marbazua](https://github.com/marbazua) as collaborators to your repo containing hw04. Please __review the hw04 submission of [mlawre01](https://github.com/mlawre01) and [burkeprw](https://github.com/burkeprw)__."
"hsmohammed","Please add [OliviaTabares](https://github.com/OliviaTabares) and [menglinzhou](https://github.com/menglinzhou) as collaborators to your repo containing hw04. Please __review the hw04 submission of [SonjaS1](https://github.com/SonjaS1) and [rainerlempert](https://github.com/rainerlempert)__."
"ilgan","Please add [mlawre01](https://github.com/mlawre01) and [burkeprw](https://github.com/burkeprw) as collaborators to your repo containing hw04. Please __review the hw04 submission of [vanflad](https://github.com/vanflad) and [CassKon](https://github.com/CassKon)__."
"jenncscampbell","Please add [rainerlempert](https://github.com/rainerlempert) and [vmichalowski](https://github.com/vmichalowski) as collaborators to your repo containing hw04. Please __review the hw04 submission of [peterwhitman](https://github.com/peterwhitman) and [navysealtf9k](https://github.com/navysealtf9k)__."
"Jennica416","Please add [wswade2](https://github.com/wswade2) and [margotgunning](https://github.com/margotgunning) as collaborators to your repo containing hw04. Please __review the hw04 submission of [OliviaTabares](https://github.com/OliviaTabares) and [menglinzhou](https://github.com/menglinzhou)__."
"jmurthy12","Please add [xinyaofan](https://github.com/xinyaofan) and [shadowforti](https://github.com/shadowforti) as collaborators to your repo containing hw04. Please __review the hw04 submission of [ssheikho](https://github.com/ssheikho) and [susannaelsie](https://github.com/susannaelsie)__."
"juansbr7","Please add [ssheikho](https://github.com/ssheikho) and [susannaelsie](https://github.com/susannaelsie) as collaborators to your repo containing hw04. Please __review the hw04 submission of [estennw](https://github.com/estennw) and [aiod01](https://github.com/aiod01)__."
"julianheavyside","Please add [yanchaoluo](https://github.com/yanchaoluo) and [santiagodr](https://github.com/santiagodr) as collaborators to your repo containing hw04. Please __review the hw04 submission of [alexrod61](https://github.com/alexrod61) and [qiaoyuet](https://github.com/qiaoyuet)__."
"k3vzhu","Please add [bcahn7](https://github.com/bcahn7) and [vibudh2209](https://github.com/vibudh2209) as collaborators to your repo containing hw04. Please __review the hw04 submission of [farihakhan](https://github.com/farihakhan) and [Tangjiahui26](https://github.com/Tangjiahui26)__."
"KateJohnson","Please add [abishekarun](https://github.com/abishekarun) and [mylinhthibodeau](https://github.com/mylinhthibodeau) as collaborators to your repo containing hw04. Please __review the hw04 submission of [mattsada](https://github.com/mattsada) and [xinyaofan](https://github.com/xinyaofan)__."
"Kozp","Please add [ZimingY](https://github.com/ZimingY) and [Shirlett](https://github.com/Shirlett) as collaborators to your repo containing hw04. Please __review the hw04 submission of [hannahdxz](https://github.com/hannahdxz) and [suminwei2772](https://github.com/suminwei2772)__."
"lucymei","Please add [hannahdxz](https://github.com/hannahdxz) and [suminwei2772](https://github.com/suminwei2772) as collaborators to your repo containing hw04. Please __review the hw04 submission of [arsbar24](https://github.com/arsbar24) and [xinmiaow](https://github.com/xinmiaow)__."
"marbazua","Please add [wenzhengzzz](https://github.com/wenzhengzzz) and [teilhard1976](https://github.com/teilhard1976) as collaborators to your repo containing hw04. Please __review the hw04 submission of [HScheiber](https://github.com/HScheiber) and [mlawre01](https://github.com/mlawre01)__."
"margotgunning","Please add [heathersummers](https://github.com/heathersummers) and [wswade2](https://github.com/wswade2) as collaborators to your repo containing hw04. Please __review the hw04 submission of [Jennica416](https://github.com/Jennica416) and [OliviaTabares](https://github.com/OliviaTabares)__."
"Maria815","Please add [xinmiaow](https://github.com/xinmiaow) and [angmelanie](https://github.com/angmelanie) as collaborators to your repo containing hw04. Please __review the hw04 submission of [Alexander-Morin](https://github.com/Alexander-Morin) and [gbraich](https://github.com/gbraich)__."
"Mathnstein","Please add [acavalla](https://github.com/acavalla) and [sepkamal](https://github.com/sepkamal) as collaborators to your repo containing hw04. Please __review the hw04 submission of [auduman](https://github.com/auduman) and [cheungamanda](https://github.com/cheungamanda)__."
"mattsada","Please add [mylinhthibodeau](https://github.com/mylinhthibodeau) and [KateJohnson](https://github.com/KateJohnson) as collaborators to your repo containing hw04. Please __review the hw04 submission of [xinyaofan](https://github.com/xinyaofan) and [shadowforti](https://github.com/shadowforti)__."
"menglinzhou","Please add [Jennica416](https://github.com/Jennica416) and [OliviaTabares](https://github.com/OliviaTabares) as collaborators to your repo containing hw04. Please __review the hw04 submission of [hsmohammed](https://github.com/hsmohammed) and [SonjaS1](https://github.com/SonjaS1)__."
"mlawre01","Please add [marbazua](https://github.com/marbazua) and [HScheiber](https://github.com/HScheiber) as collaborators to your repo containing hw04. Please __review the hw04 submission of [burkeprw](https://github.com/burkeprw) and [ilgan](https://github.com/ilgan)__."
"mylinhthibodeau","Please add [Tangjiahui26](https://github.com/Tangjiahui26) and [abishekarun](https://github.com/abishekarun) as collaborators to your repo containing hw04. Please __review the hw04 submission of [KateJohnson](https://github.com/KateJohnson) and [mattsada](https://github.com/mattsada)__."
"navysealtf9k","Please add [jenncscampbell](https://github.com/jenncscampbell) and [peterwhitman](https://github.com/peterwhitman) as collaborators to your repo containing hw04. Please __review the hw04 submission of [acavalla](https://github.com/acavalla) and [sepkamal](https://github.com/sepkamal)__."
"nbendriem","Please add [rishadhabib](https://github.com/rishadhabib) and [winnietse1018](https://github.com/winnietse1018) as collaborators to your repo containing hw04. Please __review the hw04 submission of [dorawyy](https://github.com/dorawyy) and [danaj191](https://github.com/danaj191)__."
"nicolehawe","Please add [cindyhurtado](https://github.com/cindyhurtado) and [swynes](https://github.com/swynes) as collaborators to your repo containing hw04. Please __review the hw04 submission of [arthursunbao](https://github.com/arthursunbao) and [rdwyer2](https://github.com/rdwyer2)__."
"NSKrstic","Please add [dorawyy](https://github.com/dorawyy) and [danaj191](https://github.com/danaj191) as collaborators to your repo containing hw04. Please __review the hw04 submission of [sdhanani](https://github.com/gvdr/stat545-hw-dhanani-selina) and [zxkathy](https://github.com/zxkathy)__."
"oktokat","Please add [auduman](https://github.com/auduman) and [cheungamanda](https://github.com/cheungamanda) as collaborators to your repo containing hw04. Please __review the hw04 submission of [emilymistick](https://github.com/emilymistick) and [yanchaoluo](https://github.com/yanchaoluo)__."
"OliviaTabares","Please add [margotgunning](https://github.com/margotgunning) and [Jennica416](https://github.com/Jennica416) as collaborators to your repo containing hw04. Please __review the hw04 submission of [menglinzhou](https://github.com/menglinzhou) and [hsmohammed](https://github.com/hsmohammed)__."
"peterwhitman","Please add [vmichalowski](https://github.com/vmichalowski) and [jenncscampbell](https://github.com/jenncscampbell) as collaborators to your repo containing hw04. Please __review the hw04 submission of [navysealtf9k](https://github.com/navysealtf9k) and [acavalla](https://github.com/acavalla)__."
"qiaoyuet","Please add [julianheavyside](https://github.com/julianheavyside) and [alexrod61](https://github.com/alexrod61) as collaborators to your repo containing hw04. Please __review the hw04 submission of [bcahn7](https://github.com/bcahn7) and [vibudh2209](https://github.com/vibudh2209)__."
"rainerlempert","Please add [hsmohammed](https://github.com/hsmohammed) and [SonjaS1](https://github.com/SonjaS1) as collaborators to your repo containing hw04. Please __review the hw04 submission of [vmichalowski](https://github.com/vmichalowski) and [jenncscampbell](https://github.com/jenncscampbell)__."
"rdwyer2","Please add [nicolehawe](https://github.com/nicolehawe) and [arthursunbao](https://github.com/arthursunbao) as collaborators to your repo containing hw04. Please __review the hw04 submission of [diermc](https://github.com/diermc) and [ZimingY](https://github.com/ZimingY)__."
"rishadhabib","Please add [estennw](https://github.com/estennw) and [aiod01](https://github.com/aiod01) as collaborators to your repo containing hw04. Please __review the hw04 submission of [winnietse1018](https://github.com/winnietse1018) and [nbendriem](https://github.com/nbendriem)__."
"santiagodr","Please add [emilymistick](https://github.com/emilymistick) and [yanchaoluo](https://github.com/yanchaoluo) as collaborators to your repo containing hw04. Please __review the hw04 submission of [julianheavyside](https://github.com/julianheavyside) and [alexrod61](https://github.com/alexrod61)__."
"sdhanani","Please add [danaj191](https://github.com/danaj191) and [NSKrstic](https://github.com/NSKrstic) as collaborators to your repo containing hw04. Please __review the hw04 submission of [zxkathy](https://github.com/zxkathy) and [yidie](https://github.com/yidie)__."
"sepkamal","Please add [navysealtf9k](https://github.com/navysealtf9k) and [acavalla](https://github.com/acavalla) as collaborators to your repo containing hw04. Please __review the hw04 submission of [Mathnstein](https://github.com/Mathnstein) and [auduman](https://github.com/auduman)__."
"shadowforti","Please add [mattsada](https://github.com/mattsada) and [xinyaofan](https://github.com/xinyaofan) as collaborators to your repo containing hw04. Please __review the hw04 submission of [jmurthy12](https://github.com/jmurthy12) and [ssheikho](https://github.com/ssheikho)__."
"Shirlett","Please add [diermc](https://github.com/diermc) and [ZimingY](https://github.com/ZimingY) as collaborators to your repo containing hw04. Please __review the hw04 submission of [Kozp](https://github.com/Kozp) and [hannahdxz](https://github.com/hannahdxz)__."
"SonjaS1","Please add [menglinzhou](https://github.com/menglinzhou) and [hsmohammed](https://github.com/hsmohammed) as collaborators to your repo containing hw04. Please __review the hw04 submission of [rainerlempert](https://github.com/rainerlempert) and [vmichalowski](https://github.com/vmichalowski)__."
"ssheikho","Please add [shadowforti](https://github.com/shadowforti) and [jmurthy12](https://github.com/jmurthy12) as collaborators to your repo containing hw04. Please __review the hw04 submission of [susannaelsie](https://github.com/susannaelsie) and [juansbr7](https://github.com/juansbr7)__."
"suminwei2772","Please add [Kozp](https://github.com/Kozp) and [hannahdxz](https://github.com/hannahdxz) as collaborators to your repo containing hw04. Please __review the hw04 submission of [lucymei](https://github.com/lucymei) and [arsbar24](https://github.com/arsbar24)__."
"susannaelsie","Please add [jmurthy12](https://github.com/jmurthy12) and [ssheikho](https://github.com/ssheikho) as collaborators to your repo containing hw04. Please __review the hw04 submission of [juansbr7](https://github.com/juansbr7) and [estennw](https://github.com/estennw)__."
"swynes","Please add [ChadFibke](https://github.com/ChadFibke) and [cindyhurtado](https://github.com/cindyhurtado) as collaborators to your repo containing hw04. Please __review the hw04 submission of [nicolehawe](https://github.com/nicolehawe) and [arthursunbao](https://github.com/arthursunbao)__."
"Tangjiahui26","Please add [k3vzhu](https://github.com/k3vzhu) and [farihakhan](https://github.com/farihakhan) as collaborators to your repo containing hw04. Please __review the hw04 submission of [abishekarun](https://github.com/abishekarun) and [mylinhthibodeau](https://github.com/mylinhthibodeau)__."
"teilhard1976","Please add [yeonukkim](https://github.com/yeonukkim) and [wenzhengzzz](https://github.com/wenzhengzzz) as collaborators to your repo containing hw04. Please __review the hw04 submission of [marbazua](https://github.com/marbazua) and [HScheiber](https://github.com/HScheiber)__."
"vanflad","Please add [burkeprw](https://github.com/burkeprw) and [ilgan](https://github.com/ilgan) as collaborators to your repo containing hw04. Please __review the hw04 submission of [CassKon](https://github.com/CassKon) and [ChadFibke](https://github.com/ChadFibke)__."
"vibudh2209","Please add [qiaoyuet](https://github.com/qiaoyuet) and [bcahn7](https://github.com/bcahn7) as collaborators to your repo containing hw04. Please __review the hw04 submission of [k3vzhu](https://github.com/k3vzhu) and [farihakhan](https://github.com/farihakhan)__."
"vmichalowski","Please add [SonjaS1](https://github.com/SonjaS1) and [rainerlempert](https://github.com/rainerlempert) as collaborators to your repo containing hw04. Please __review the hw04 submission of [jenncscampbell](https://github.com/jenncscampbell) and [peterwhitman](https://github.com/peterwhitman)__."
"wenzhengzzz","Please add [yuanjisun](https://github.com/yuanjisun) and [yeonukkim](https://github.com/yeonukkim) as collaborators to your repo containing hw04. Please __review the hw04 submission of [teilhard1976](https://github.com/teilhard1976) and [marbazua](https://github.com/marbazua)__."
"winnietse1018","Please add [aiod01](https://github.com/aiod01) and [rishadhabib](https://github.com/rishadhabib) as collaborators to your repo containing hw04. Please __review the hw04 submission of [nbendriem](https://github.com/nbendriem) and [dorawyy](https://github.com/dorawyy)__."
"wswade2","Please add [gbraich](https://github.com/gbraich) and [heathersummers](https://github.com/heathersummers) as collaborators to your repo containing hw04. Please __review the hw04 submission of [margotgunning](https://github.com/margotgunning) and [Jennica416](https://github.com/Jennica416)__."
"xinmiaow","Please add [lucymei](https://github.com/lucymei) and [arsbar24](https://github.com/arsbar24) as collaborators to your repo containing hw04. Please __review the hw04 submission of [angmelanie](https://github.com/angmelanie) and [Maria815](https://github.com/Maria815)__."
"xinyaofan","Please add [KateJohnson](https://github.com/KateJohnson) and [mattsada](https://github.com/mattsada) as collaborators to your repo containing hw04. Please __review the hw04 submission of [shadowforti](https://github.com/shadowforti) and [jmurthy12](https://github.com/jmurthy12)__."
"yanchaoluo","Please add [oktokat](https://github.com/oktokat) and [emilymistick](https://github.com/emilymistick) as collaborators to your repo containing hw04. Please __review the hw04 submission of [santiagodr](https://github.com/santiagodr) and [julianheavyside](https://github.com/julianheavyside)__."
"yeonukkim","Please add [yidie](https://github.com/yidie) and [yuanjisun](https://github.com/yuanjisun) as collaborators to your repo containing hw04. Please __review the hw04 submission of [wenzhengzzz](https://github.com/wenzhengzzz) and [teilhard1976](https://github.com/teilhard1976)__."
"yidie","Please add [sdhanani](https://github.com/gvdr/stat545-hw-dhanani-selina) and [zxkathy](https://github.com/zxkathy) as collaborators to your repo containing hw04. Please __review the hw04 submission of [yuanjisun](https://github.com/yuanjisun) and [yeonukkim](https://github.com/yeonukkim)__."
"yuanjisun","Please add [zxkathy](https://github.com/zxkathy) and [yidie](https://github.com/yidie) as collaborators to your repo containing hw04. Please __review the hw04 submission of [yeonukkim](https://github.com/yeonukkim) and [wenzhengzzz](https://github.com/wenzhengzzz)__."
"ZimingY","Please add [rdwyer2](https://github.com/rdwyer2) and [diermc](https://github.com/diermc) as collaborators to your repo containing hw04. Please __review the hw04 submission of [Shirlett](https://github.com/Shirlett) and [Kozp](https://github.com/Kozp)__."
"zxkathy","Please add [NSKrstic](https://github.com/NSKrstic) and [sdhanani](https://github.com/gvdr/stat545-hw-dhanani-selina) as collaborators to your repo containing hw04. Please __review the hw04 submission of [yidie](https://github.com/yidie) and [yuanjisun](https://github.com/yuanjisun)__."
