"Your_github","Instructions"
"abishekarun","Please add [ssheikho](https://github.com/ssheikho) and [santiagodr](https://github.com/santiagodr) as collaborators to your repo containing hw05. Please __review the hw05 submission of [rdwyer2](https://github.com/rdwyer2) and [Maria815](https://github.com/Maria815)__."
"acavalla","Please add [Maria815](https://github.com/Maria815) and [emilymistick](https://github.com/emilymistick) as collaborators to your repo containing hw05. Please __review the hw05 submission of [cheungamanda](https://github.com/cheungamanda) and [lucymei](https://github.com/lucymei)__."
"aiod01","Please add [jmurthy12](https://github.com/jmurthy12) and [sdhanani](https://github.com/gvdr/stat545-hw-dhanani-selina) as collaborators to your repo containing hw05. Please __review the hw05 submission of [k3vzhu](https://github.com/k3vzhu) and [ilgan](https://github.com/ilgan)__."
"Alexander-Morin","Please add [danaj191](https://github.com/danaj191) and [arsbar24](https://github.com/arsbar24) as collaborators to your repo containing hw05. Please __review the hw05 submission of [juansbr7](https://github.com/juansbr7) and [wenzhengzzz](https://github.com/wenzhengzzz)__."
"alexrod61","Please add [xinmiaow](https://github.com/xinmiaow) and [CassKon](https://github.com/CassKon) as collaborators to your repo containing hw05. Please __review the hw05 submission of [yidie](https://github.com/yidie) and [ZimingY](https://github.com/ZimingY)__."
"angmelanie","Please add [ZimingY](https://github.com/ZimingY) and [cindyhurtado](https://github.com/cindyhurtado) as collaborators to your repo containing hw05. Please __review the hw05 submission of [nbendriem](https://github.com/nbendriem) and [burkeprw](https://github.com/burkeprw)__."
"arsbar24","Please add [Tangjiahui26](https://github.com/Tangjiahui26) and [danaj191](https://github.com/danaj191) as collaborators to your repo containing hw05. Please __review the hw05 submission of [Alexander-Morin](https://github.com/Alexander-Morin) and [juansbr7](https://github.com/juansbr7)__."
"arthursunbao","Please add [estennw](https://github.com/estennw) and [shadowforti](https://github.com/shadowforti) as collaborators to your repo containing hw05. Please __review the hw05 submission of [ChadFibke](https://github.com/ChadFibke) and [KateJohnson](https://github.com/KateJohnson)__."
"auduman","Please add [yeonukkim](https://github.com/yeonukkim) and [vibudh2209](https://github.com/vibudh2209) as collaborators to your repo containing hw05. Please __review the hw05 submission of [Mathnstein](https://github.com/Mathnstein) and [vanflad](https://github.com/vanflad)__."
"bcahn7","Please add [qiaoyuet](https://github.com/qiaoyuet) and [susannaelsie](https://github.com/susannaelsie) as collaborators to your repo containing hw05. Please __review the hw05 submission of [yuanjisun](https://github.com/yuanjisun) and [dorawyy](https://github.com/dorawyy)__."
"burkeprw","Please add [angmelanie](https://github.com/angmelanie) and [nbendriem](https://github.com/nbendriem) as collaborators to your repo containing hw05. Please __review the hw05 submission of [winnietse1018](https://github.com/winnietse1018) and [SonjaS1](https://github.com/SonjaS1)__."
"CassKon","Please add [mylinhthibodeau](https://github.com/mylinhthibodeau) and [xinmiaow](https://github.com/xinmiaow) as collaborators to your repo containing hw05. Please __review the hw05 submission of [alexrod61](https://github.com/alexrod61) and [yidie](https://github.com/yidie)__."
"ChadFibke","Please add [shadowforti](https://github.com/shadowforti) and [arthursunbao](https://github.com/arthursunbao) as collaborators to your repo containing hw05. Please __review the hw05 submission of [KateJohnson](https://github.com/KateJohnson) and [wswade2](https://github.com/wswade2)__."
"cheungamanda","Please add [emilymistick](https://github.com/emilymistick) and [acavalla](https://github.com/acavalla) as collaborators to your repo containing hw05. Please __review the hw05 submission of [lucymei](https://github.com/lucymei) and [nicolehawe](https://github.com/nicolehawe)__."
"cindyhurtado","Please add [yidie](https://github.com/yidie) and [ZimingY](https://github.com/ZimingY) as collaborators to your repo containing hw05. Please __review the hw05 submission of [angmelanie](https://github.com/angmelanie) and [nbendriem](https://github.com/nbendriem)__."
"danaj191","Please add [vmichalowski](https://github.com/vmichalowski) and [Tangjiahui26](https://github.com/Tangjiahui26) as collaborators to your repo containing hw05. Please __review the hw05 submission of [arsbar24](https://github.com/arsbar24) and [Alexander-Morin](https://github.com/Alexander-Morin)__."
"diermc","Please add [lucymei](https://github.com/lucymei) and [nicolehawe](https://github.com/nicolehawe) as collaborators to your repo containing hw05. Please __review the hw05 submission of [zxkathy](https://github.com/zxkathy) and [Jennica416](https://github.com/Jennica416)__."
"dorawyy","Please add [bcahn7](https://github.com/bcahn7) and [yuanjisun](https://github.com/yuanjisun) as collaborators to your repo containing hw05. Please __review the hw05 submission of [hsmohammed](https://github.com/hsmohammed) and [ssheikho](https://github.com/ssheikho)__."
"emilymistick","Please add [rdwyer2](https://github.com/rdwyer2) and [Maria815](https://github.com/Maria815) as collaborators to your repo containing hw05. Please __review the hw05 submission of [acavalla](https://github.com/acavalla) and [cheungamanda](https://github.com/cheungamanda)__."
"estennw","Please add [mlawre01](https://github.com/mlawre01) and [heathersummers](https://github.com/heathersummers) as collaborators to your repo containing hw05. Please __review the hw05 submission of [shadowforti](https://github.com/shadowforti) and [arthursunbao](https://github.com/arthursunbao)__."
"farihakhan","Please add [Jennica416](https://github.com/Jennica416) and [Shirlett](https://github.com/Shirlett) as collaborators to your repo containing hw05. Please __review the hw05 submission of [margotgunning](https://github.com/margotgunning) and [swynes](https://github.com/swynes)__."
"gbraich","Please add [oktokat](https://github.com/oktokat) and [marbazua](https://github.com/marbazua) as collaborators to your repo containing hw05. Please __review the hw05 submission of [rainerlempert](https://github.com/rainerlempert) and [hannahdxz](https://github.com/hannahdxz)__."
"hannahdxz","Please add [gbraich](https://github.com/gbraich) and [rainerlempert](https://github.com/rainerlempert) as collaborators to your repo containing hw05. Please __review the hw05 submission of [julianheavyside](https://github.com/julianheavyside) and [mattsada](https://github.com/mattsada)__."
"heathersummers","Please add [HScheiber](https://github.com/HScheiber) and [mlawre01](https://github.com/mlawre01) as collaborators to your repo containing hw05. Please __review the hw05 submission of [estennw](https://github.com/estennw) and [shadowforti](https://github.com/shadowforti)__."
"HScheiber","Please add [julianheavyside](https://github.com/julianheavyside) and [mattsada](https://github.com/mattsada) as collaborators to your repo containing hw05. Please __review the hw05 submission of [mlawre01](https://github.com/mlawre01) and [heathersummers](https://github.com/heathersummers)__."
"hsmohammed","Please add [yuanjisun](https://github.com/yuanjisun) and [dorawyy](https://github.com/dorawyy) as collaborators to your repo containing hw05. Please __review the hw05 submission of [ssheikho](https://github.com/ssheikho) and [santiagodr](https://github.com/santiagodr)__."
"ilgan","Please add [aiod01](https://github.com/aiod01) and [k3vzhu](https://github.com/k3vzhu) as collaborators to your repo containing hw05. Please __review the hw05 submission of [teilhard1976](https://github.com/teilhard1976) and [OliviaTabares](https://github.com/OliviaTabares)__."
"jenncscampbell","Please add [KateJohnson](https://github.com/KateJohnson) and [wswade2](https://github.com/wswade2) as collaborators to your repo containing hw05. Please __review the hw05 submission of [yanchaoluo](https://github.com/yanchaoluo) and [mylinhthibodeau](https://github.com/mylinhthibodeau)__."
"Jennica416","Please add [diermc](https://github.com/diermc) and [zxkathy](https://github.com/zxkathy) as collaborators to your repo containing hw05. Please __review the hw05 submission of [Shirlett](https://github.com/Shirlett) and [farihakhan](https://github.com/farihakhan)__."
"jmurthy12","Please add [sepkamal](https://github.com/sepkamal) and [navysealtf9k](https://github.com/navysealtf9k) as collaborators to your repo containing hw05. Please __review the hw05 submission of [sdhanani](https://github.com/gvdr/stat545-hw-dhanani-selina) and [aiod01](https://github.com/aiod01)__."
"juansbr7","Please add [arsbar24](https://github.com/arsbar24) and [Alexander-Morin](https://github.com/Alexander-Morin) as collaborators to your repo containing hw05. Please __review the hw05 submission of [wenzhengzzz](https://github.com/wenzhengzzz) and [menglinzhou](https://github.com/menglinzhou)__."
"julianheavyside","Please add [rainerlempert](https://github.com/rainerlempert) and [hannahdxz](https://github.com/hannahdxz) as collaborators to your repo containing hw05. Please __review the hw05 submission of [mattsada](https://github.com/mattsada) and [HScheiber](https://github.com/HScheiber)__."
"k3vzhu","Please add [sdhanani](https://github.com/gvdr/stat545-hw-dhanani-selina) and [aiod01](https://github.com/aiod01) as collaborators to your repo containing hw05. Please __review the hw05 submission of [ilgan](https://github.com/ilgan) and [teilhard1976](https://github.com/teilhard1976)__."
"KateJohnson","Please add [arthursunbao](https://github.com/arthursunbao) and [ChadFibke](https://github.com/ChadFibke) as collaborators to your repo containing hw05. Please __review the hw05 submission of [wswade2](https://github.com/wswade2) and [jenncscampbell](https://github.com/jenncscampbell)__."
